# NHTSA vPIC World Manufacturer Identifier table, retrieved 2026-09-21.
# Regenerate with: go run ./tools/wmi-import
# Left out because they cannot appear in a VIN: 1OY, 4OG
wmi,manufacturer_id,manufacturer,make,vehicle_type,country
1A9406,5128,APACHE  SINCA INDUSTRIES INC,,Trailer,UNITED STATES (USA)
1A9412,5182,AMERICAN WARRIOR MOTORCYCLES,,Motorcycle,UNITED STATES (USA)
1A9416,5187,AMERIMAX METALWORKS,,Trailer,UNITED STATES (USA)
1A9421,2079,ALBERT LEA TRAILER INC.,,Trailer,UNITED STATES (USA)
1A9423,11402,AC CUSTOMS INC.,,Motorcycle,UNITED STATES (USA)
1A9427,5245,ASTEC INDUSTRIES INC.,,Trailer,UNITED STATES (USA)
1A9428,4482,AMERICAN PERFORMANCE CYCLE MOTOR COMPANY,,Motorcycle,UNITED STATES (USA)
1A9432,18366,AJR INC.,,Trailer,UNITED STATES (USA)
1A9433,9380,ALLEN'S MFG INC.,,Trailer,UNITED STATES (USA)
1A9436,4468,AMERICAN DOZER INC.,,Trailer,UNITED STATES (USA)
1A9438,1639,"ALL SOUTH EQUIPMENT CO., INC.",,Trailer,UNITED STATES (USA)
1A9440,4838,"ALL AMERICAN MANUFACTURING, INC.",,Trailer,UNITED STATES (USA)
1A9442,4483,AMERICAN QUANTUM CYCLES,,Motorcycle,UNITED STATES (USA)
1A9445,1973,"AMERICAN AUGERS, INC.",,Trailer,UNITED STATES (USA)
1A9446,13226,AQUACRAFT INC,,Trailer,UNITED STATES (USA)
1A9448,5588,ASPEN TRAILER INC.,,Trailer,UNITED STATES (USA)
1A9456,5718,"ALTAMONT TECHNOLOGIES, INC",,Trailer,UNITED STATES (USA)
1A9457,13096,"AG SPRAY EQUIPMENT, INC.",,Trailer,UNITED STATES (USA)
1A9458,13219,APOLLO TRAILER COMPANY,,Trailer,UNITED STATES (USA)
1A9460,19300,HENRY & WRIGHT CORPORATION,,Trailer,UNITED STATES (USA)
1A9461,17407,ARROW DUMP TRAILERS,,Trailer,UNITED STATES (USA)
1A9462,13114,ANDERSON REPAIR,,Trailer,UNITED STATES (USA)
