# NHTSA vPIC World Manufacturer Identifier table, retrieved 2026-09-21.
# Regenerate with: go run ./tools/wmi-import
# Left out because they cannot appear in a VIN: 1OY, 4OG
wmi,manufacturer_id,manufacturer,make,vehicle_type,country
4S7,4368,"THE SHYFT GROUP, INC.",SPARTAN MOTORS CHASSIS,Incomplete Vehicle,UNITED STATES (USA)
4S8,4756,"MORBARK, LLC",MORBARK,Trailer,UNITED STATES (USA)
4S9001,10863,"SOUTHERN MOTORCYCLE WORKS, INC. DBA SMW",,Motorcycle,UNITED STATES (USA)
4S9002,10632,SICKASSO CYCLE CREATIONS INC.,,Motorcycle,UNITED STATES (USA)
4S9004,8631,SILVER STATE INDUSTRIES DIVISION,,Motorcycle,UNITED STATES (USA)
4S9005,10722,NEVADA DEPARTMENT OF CORRECTIONS,,Trailer,UNITED STATES (USA)
4S9007,10635,SCULPTURE CYCLES,,Motorcycle,UNITED STATES (USA)
4S9008,10222,SNAPCO INCORPORATED,,Trailer,UNITED STATES (USA)
4S9009,5864,"SPM CUSTOMS, INC.",,Motorcycle,UNITED STATES (USA)
4S9011,10875,"STAR ELECTRIC CARS, INC.",,Low Speed Vehicle (LSV),UNITED STATES (USA)
4S9012,9241,SOUTHERN YANKEE BAR-B-Q,,Trailer,UNITED STATES (USA)
4S9014,9781,"SULLIVAN'S GARAGE, INC.",,Motorcycle,UNITED STATES (USA)
4S9015,9327,"SILVER STAR TRAILERS, LLC",,Trailer,UNITED STATES (USA)
4S9017,8908,SINKHOLE CUSTOMS LLC,,Motorcycle,UNITED STATES (USA)
4S9018,9320,SOUTH FLORIDA CHOPPERS INC.,,Motorcycle,UNITED STATES (USA)
4S9020,9515,"SIC CYCLES, LLC",,Motorcycle,UNITED STATES (USA)
4S9022,9783,"SOUTHERN CYCLE WORKS, INC.",,Motorcycle,UNITED STATES (USA)
4S9023,9763,SURE TECH ENGINEERING,,Trailer,UNITED STATES (USA)
4S9024,1438,"S & B TRAILERS, INC",,Trailer,UNITED STATES (USA)
4S9025,10406,"STALLION TRAILERS, INC.",,Trailer,UNITED STATES (USA)
4S9027,10171,SOUTH SIDE KUSTOMS,,Motorcycle,UNITED STATES (USA)
4S9028,10715,"SCHOOLHOUSE MOTORCYCLE ACCESSORIES, INC.",,Trailer,UNITED STATES (USA)
4S9030,10786,SPEED STREET CUSTOM BUILDS,,Motorcycle,UNITED STATES (USA)
4S9031,25104,SPECTRUM SPORTS INTERNATIONAL,,Trailer,UNITED STATES (USA)
4S9034,13458,OLMAX FABRICATION D/B/A SPEED & CUSTOM CYCLES,,Motorcycle,UNITED STATES (USA)
4S9035,9969,STROKERS MANUFACTURING,,Motorcycle,UNITED STATES (USA)
4S9037,10451,SSINSTER CHOPPERS LLC,,Motorcycle,UNITED STATES (USA)
4S9038,9847,"STROTHER WELDING, INC.",,Trailer,UNITED STATES (USA)
4S9039,11143,"SCELZI EQUIPMENT, INC.",,Trailer,UNITED STATES (USA)
4S9041,13422,SPORTS HAULER INC.,,Trailer,UNITED STATES (USA)
4S9042,9071,SUNCOAST CHOPPERS & FAB.,,Motorcycle,UNITED STATES (USA)
4S9043,10068,STILETTO RIDES,,Motorcycle,UNITED STATES (USA)
4S9044,10705,SMART MANUFACTURING INC.,,Trailer,UNITED STATES (USA)
4S9045,9136,SAS GROUP LLC DBA VENDETTA V8 MOTORCYCLES,,Motorcycle,UNITED STATES (USA)
4S9046,8464,SPEEDWAGON MANUFACTURING INC. SPEEDWAGON TRAILERS,,Trailer,UNITED STATES (USA)
4S9048,10008,SC TRAILERS INC.,,Trailer,UNITED STATES (USA)
4S9051,11614,"SPARTAN TRUCK COMPANY, INC.",,Trailer,UNITED STATES (USA)
4S9052,10702,"SCOTT MANUFACTURING, INC",,Trailer,UNITED STATES (USA)
4S9053,11808,SIK N TWISTED PSYCLES,,Motorcycle,UNITED STATES (USA)
4S9054,10059,"SOONER MANUFACTURING, LLC",,Trailer,UNITED STATES (USA)
4S9055,8438,"S&S CYCLE, INC.",,Motorcycle,UNITED STATES (USA)
4S9058,11601,SKULLBONE WELDING,,Trailer,UNITED STATES (USA)
4S9059,11587,"LARRICK, LLC,",,Trailer,UNITED STATES (USA)
4S9060,10433,STAHL A SCOTT FETZER COMPANY,,Trailer,UNITED STATES (USA)
4S9061,10783,SUICIDE JACK CHOPPERS LLC,,Motorcycle,UNITED STATES (USA)
4S9062,10782,SWEDE BUILT,,Motorcycle,UNITED STATES (USA)
4S9064,10034,"STERLING FABRICATION, INC.",,Trailer,UNITED STATES (USA)
4S9065,11789,"SUTTER MANUFACTURING, INC.",,Trailer,UNITED STATES (USA)
4S9066,9328,S/C CHOPPERS,,Motorcycle,UNITED STATES (USA)
4S9067,11615,S & S TRAILERS & TRUCK EQUIPMENT,,Trailer,UNITED STATES (USA)
4S9068,10224,KATHY SPELL DBA SOUTHERN BUILT TRAILERS,,Trailer,UNITED STATES (USA)
4S9070,11821,STREAMLINE DESIGNS INC.,,Motorcycle,UNITED STATES (USA)
4S9071,10217,STUNATA CUSTOMS,,Motorcycle,UNITED STATES (USA)
4S9072,8443,"SUNDANCE EQUIPMENT, INC.",,Trailer,UNITED STATES (USA)
4S9073,9329,STEWART'S FABRICATION AND WELDING,,Trailer,UNITED STATES (USA)
4S9074,8917,"SABRE TRAILERS, INC.",,Trailer,UNITED STATES (USA)
4S9077,8437,SUB CULTURE CYCLES,,Motorcycle,UNITED STATES (USA)
4S9078,11153,SCORPION CHOPPERS,,Motorcycle,UNITED STATES (USA)
4S9079,11155,SCHLAGEL MANUFACTURING INC.,,Trailer,UNITED STATES (USA)
4S9081,9556,SULLIVANS MOTORCYCLES,,Motorcycle,UNITED STATES (USA)
4S9082,9509,SHILOH MANUFACTURING INC.,,Trailer,UNITED STATES (USA)
4S9084,10726,"SALTY'S MANUFACTURING, LTD",,Trailer,UNITED STATES (USA)
4S9085,10467,SANCHEZ TRAILERS,,Trailer,UNITED STATES (USA)
4S9089,15140,GREGORY INDUSTRIES,,Trailer,UNITED STATES (USA)
4S9091,8859,SUPERIOR TRAILERS,,Trailer,UNITED STATES (USA)
4S9096,6927,"SS TRIKE, LLC",,Motorcycle,UNITED STATES (USA)
4S9097,9452,SPAULDING MFG INC,,Trailer,UNITED STATES (USA)
4S9098,10943,STREET SMART PERFORMACE INC.,,Motorcycle,UNITED STATES (USA)
4S9099,10924,"SABERTOOTH MOTORCYCLES, LLC",,Motorcycle,UNITED STATES (USA)
4S9100,7480,SUN COUNTRY TRAILERS,,Trailer,UNITED STATES (USA)
4S9103,4273,SPEED MOTORSPORTS LLC,,Motorcycle,UNITED STATES (USA)
4S9105,6436,STEAMROLLER MOTORCYCLE COMPANY LLC,,Motorcycle,UNITED STATES (USA)
4S9106,9302,"SPACE COAST INDUSTRIES, INC.",,Trailer,UNITED STATES (USA)
4S9108,11755,SUMMIT INDUSTRIES INCORPORATED,,Trailer,UNITED STATES (USA)
4S9109,9932,"SAGE INDUSTRIES, INC.",,Trailer,UNITED STATES (USA)
4S9112,9295,"SIGEL WELDING, INC.",,Trailer,UNITED STATES (USA)
4S9113,11768,"STUMP SMOKERS, INC.",,Trailer,UNITED STATES (USA)
4S9118,11194,SLATER INCORPORATED,,Trailer,UNITED STATES (USA)
4S9119,13495,"SPECIALTY FABRICATION, INC.",,Trailer,UNITED STATES (USA)
4S9121,10306,S&S LITE LINE MFG. & SALES,,Trailer,UNITED STATES (USA)
4S9122,10564,"SPIRIT CARTS, LLC",,Low Speed Vehicle (LSV),UNITED STATES (USA)
4S9126,10560,STUPID CHOPPERS,,Motorcycle,UNITED STATES (USA)
4S9127,11430,"STEPP MANUFACTURING CO., INC.",,Trailer,UNITED STATES (USA)
4S9128,11425,"SEVERE TRAILERS, LLC",,Trailer,UNITED STATES (USA)
4S9129,11649,SOUTHERN TEXAS INDUSTRIAL SERVICE COMPANY INC.,,Trailer,UNITED STATES (USA)
4S9131,11655,SIDEKICK RV INC.,,Trailer,UNITED STATES (USA)
4S9132,8506,SMALL CAR SOLUTIONS LLC,,Trailer,UNITED STATES (USA)
4S9133,7480,SUN COUNTRY TRAILERS,,Trailer,UNITED STATES (USA)
4S9135,12060,SPECIALTY BUS MANUFACTURING LLC,,Bus,UNITED STATES (USA)
4S9136,1349,"MXROS, INC.",,Trailer,UNITED STATES (USA)
4S9138,7577,"SOUTHEASTERN STEEL CHOPPERS, INC.",,Motorcycle,UNITED STATES (USA)
4S9139,11411,STRICTLY CHOPPERS,,Motorcycle,UNITED STATES (USA)
4S9140,1364,SILVER EAGLE MANUFACTURING,,Trailer,UNITED STATES (USA)
4S9141,13514,SIERRA MOTOR CORP.,,Trailer,UNITED STATES (USA)
4S9142,11220,"FLORIDA TRAILERS, INC.",,Trailer,UNITED STATES (USA)
4S9145,11423,SHIPSHE WELDING,,Trailer,UNITED STATES (USA)
4S9146,9753,SALBOATTRANSPORTER TRAILERS LLC,,Trailer,UNITED STATES (USA)
4S9147,8946,SPECIAL EQUIPMENT MANUFACTURING,,Trailer,UNITED STATES (USA)
4S9148,9113,STALLION INTERIORS INC.,,Trailer,UNITED STATES (USA)
4S9149,12385,SUNBEAM MOTORSPORTS INC.,,Motorcycle,UNITED STATES (USA)
4S9152,9310,SEVEN CUSTOM CYCLES INC.,,Motorcycle,UNITED STATES (USA)
4S9160,7028,SKUNK MOTORSPORTS INC,,Motorcycle,UNITED STATES (USA)
4S9162,6237,SEMEREDY IMPERIAL LLC,,Motorcycle,UNITED STATES (USA)
4S9163,9375,"SPURLOCK VEHICLES, INC.",,Trailer,UNITED STATES (USA)
4S9165,7742,SPECIALIZED TRUCK EQUIPMENT MFG. LLC,,Trailer,UNITED STATES (USA)
4S9167,7585,"SUPER LITE PRO TRAILERS AND EQUIPMENT, LLC",,Trailer,UNITED STATES (USA)
4S9169,6435,SUNSET PARK & RV INC.,,Trailer,UNITED STATES (USA)
4S9171,1481,"SALSCO, INC.",,Trailer,UNITED STATES (USA)
4S9172,12080,SHAVER MANUFACTURING CO.,,Trailer,UNITED STATES (USA)
4S9173,7581,"SOUTH SHORE IRON WORKS, INC.",,Trailer,UNITED STATES (USA)
4S9176,7017,"SPRAYING DEVICES, INC.",,Trailer,UNITED STATES (USA)
4S9177,11917,STEALTH ENTERPRISES LLC,,Trailer,UNITED STATES (USA)
4S9178,6475,SLED SHED ENTERPRISES DBA GREAT LAKES PORTABLE,,Trailer,UNITED STATES (USA)
4S9179,19483,SOUTHERN METAL CHOPPERS,,Motorcycle,UNITED STATES (USA)
4S9182,6668,SMJ TRAILERS LLC,,Trailer,UNITED STATES (USA)
4S9183,6674,"SKILES INDUSTRIES, INC.",,Trailer,UNITED STATES (USA)
4S9187,7873,SPECIALTY ALUMINUM WORKS-TRAILERS,,Trailer,UNITED STATES (USA)
4S9188,12163,"SUNBELT EQUIPMENT MARKETING, INC.",,Trailer,UNITED STATES (USA)
4S9189,6401,STARFIRE TRAILER SYSTEMS,,Trailer,UNITED STATES (USA)
4S9190,1686,"SCORPION MOTORSPORTS, INC.",,Motorcycle,UNITED STATES (USA)
4S9193,6412,SHETRON MANUFACTURING LLC,,Trailer,UNITED STATES (USA)
4S9195,24109,SCHMUCKERS WELDING LLC,,Trailer,UNITED STATES (USA)
4S9197,7954,SMITH ELECTRIC VEHICLES,,Truck,UNITED STATES (USA)
4S9199,6169,SIKESTON FENDER DBA TRAILER PARTS PLUS,,Trailer,UNITED STATES (USA)
4S9200,12178,"S & C TRAILER SALES & MANUFACTURER, LLC",,Trailer,UNITED STATES (USA)
4S9202,6694,"SORCE'S TRAILER SALES, INC.",,Trailer,UNITED STATES (USA)
4S9204,11913,"SIGNCO, INC.",,Trailer,UNITED STATES (USA)
4S9205,6687,"SHARPE COMPANIES, LLC DBA STUMPHOUSE SCOOTS",,Motorcycle,UNITED STATES (USA)
4S9209,6719,"SPRINGERS CUSTOM CYCLES, LLC",,Motorcycle,UNITED STATES (USA)
4S9210,3762,"STEELWELD EQUIPMENT CO., INC",,Trailer,UNITED STATES (USA)
4S9211,7225,"SCHWARZ'S CUSTOM TRAILERS, LLC",,Trailer,UNITED STATES (USA)
4S9213,17590,SOUTHERN STYLE TRAILERS & TRUCK ACCESSORIES,,Trailer,UNITED STATES (USA)
4S9214,1566,"S AND C ENTERPRISES OF TARBORO, INC.",,Trailer,UNITED STATES (USA)
4S9216,6389,"SAFE-T-TANK CORP,",,Trailer,UNITED STATES (USA)
4S9218,1573,"SPECIALTY FABRICATION, LTD.",,Trailer,UNITED STATES (USA)
4S9219,13485,SOUTH VALLEY MANUFACTURING,,Trailer,UNITED STATES (USA)
4S9221,7448,"SFC INDUSTRIES, INC.",,Trailer,UNITED STATES (USA)
4S9224,6906,SICON,,Trailer,UNITED STATES (USA)
4S9225,12206,SAW MANUFACTURING LLC,,Trailer,UNITED STATES (USA)
4S9226,6611,SOLARES TRAILERS,,Trailer,UNITED STATES (USA)
4S9231,6395,"SPORTWORKS NORTHWEST, INC.",,Trailer,UNITED STATES (USA)
4S9232,7709,SCHNELLER MANUFACTURING INC.,,Trailer,UNITED STATES (USA)
4S9237,7464,SMOAKIN CONCEPTS COMPOSITES LLC,,Trailer,UNITED STATES (USA)
4S9239,7077,"SUWANEE CAMPER, LLC",,Trailer,UNITED STATES (USA)
4S9240,4728,SUPER VACUUM MFG. CO. INC.,,Trailer,UNITED STATES (USA)
4S9241,7922,SIC METALS & FABRICATION LLC,,Trailer,UNITED STATES (USA)
4S9242,1713,"STONEWELL BODIES & MACHINE, INC.",,Trailer,UNITED STATES (USA)
4S9243,7100,SYNERGY TRAILER COMPANY,,Trailer,UNITED STATES (USA)
4S9244,7239,"SH DISTRIBUTING, INC",,Trailer,UNITED STATES (USA)
4S9245,7238,"SINFUL CYCLEWORKS, LLC",,Motorcycle,UNITED STATES (USA)
4S9247,7851,"SOUTHERN FRAC, LLC",,Trailer,UNITED STATES (USA)
4S9248,7081,STREAMLINE PRECISION,,Trailer,UNITED STATES (USA)
4S9249,7105,"SOUTHERN FIELD WELDING, LLC",,Trailer,UNITED STATES (USA)
4S9250,7109,"SVI, INC.",,Trailer,UNITED STATES (USA)
4S9251,7109,"SVI, INC.",,Bus,UNITED STATES (USA)
4S9260,7899,"SCHUH SHOP, LLC",,Trailer,UNITED STATES (USA)
4S9261,7115,SPEED DRIVEN SUPPLY,,Motorcycle,UNITED STATES (USA)
4S9263,7945,"SPECIALTY PASSENGER VEHICLES, CORP",,Multipurpose Passenger Vehicle (MPV),UNITED STATES (USA)
4S9267,7752,"SOUTHWEST CMF, LLC",,Trailer,UNITED STATES (USA)
4S9270,7763,SOUTHERN VAC LLC,,Trailer,UNITED STATES (USA)
4S9272,6597,SHELLBOURNE REYNOLDS ENGINEERING LTD.,,Trailer,UNITED STATES (USA)
4S9273,1452,SCEADU DESIGN,,Motorcycle,UNITED STATES (USA)
4S9275,11963,TEXAS CES,,Trailer,UNITED STATES (USA)
4S9276,7284,"SCHRAMM, INC.",,Trailer,UNITED STATES (USA)
4S9277,11940,SCOTT'S INSANE CHOPPERS,,Motorcycle,UNITED STATES (USA)
4S9284,11931,"SILENT DRIVE, INC.",,Trailer,UNITED STATES (USA)
4S9285,6326,STEVES WELDING,,Trailer,UNITED STATES (USA)
4S9286,12134,S&S WORLDWIDE,,Trailer,UNITED STATES (USA)
4S9290,14005,"SIGNATOUR CAMPERS, LLC",,Trailer,UNITED STATES (USA)
4S9291,11959,"SPECSYS, INC.",,Trailer,UNITED STATES (USA)
4S9292,15801,"SUPERIOR STEEL PRODUCTS, INC.",,Trailer,UNITED STATES (USA)
4S9295,5809,"SOUTHEAST MANUFACTURING, INC. - WRENCH MOTORCYCLES",,Motorcycle,UNITED STATES (USA)
4S9296,6080,SOUTHWEST EQUIPMENT COMPANY,,Trailer,UNITED STATES (USA)
4S9297,7648,SUMMIT ENERGY EQUIPMENT,,Trailer,UNITED STATES (USA)
4S9298,7651,"SUGARLOAF FABRICATORS, INC.",,Trailer,UNITED STATES (USA)
4S9300,6328,"SIZEMORE WELDING, INC.",,Trailer,UNITED STATES (USA)
4S9302,12125,STOCK'S GARAGE INC. DBA ROCK CITY IRON,,Trailer,UNITED STATES (USA)
4S9305,12130,"SHARK TRAILERS, LLC",,Trailer,UNITED STATES (USA)
4S9306,6088,SILVER WRAITH CHOPPERS LLC,,Motorcycle,UNITED STATES (USA)
4S9309,5011,HERITAGE MANUFACTURING,,Trailer,UNITED STATES (USA)
4S9310,12218,"STREATOR INDUSTRIAL HANDLING, INC.",,Trailer,UNITED STATES (USA)
4S9311,12219,SUN TRAILERS LLC,,Trailer,UNITED STATES (USA)
4S9314,6555,"SIX GUN WELDING, LLC",,Motorcycle,UNITED STATES (USA)
4S9315,13491,"SUNBEAM RENTALS LLC, DBA SUNBEAM INNOVATIONS",,Trailer,UNITED STATES (USA)
4S9316,6733,"SOUTH DADE CHOPPERS, LLC",,Motorcycle,UNITED STATES (USA)
4S9317,6114,"SYNERGY TECHNOLOGY, LLC",,Trailer,UNITED STATES (USA)
4S9320,1627,SR PRODUCTS INC.,,Trailer,UNITED STATES (USA)
4S9323,1518,SCAG GIANT-VAC,,Trailer,UNITED STATES (USA)
4S9324,6041,"SUPERIOR STEEL SALES, LLC",,Trailer,UNITED STATES (USA)
4S9327,7822,"SEATTLE TINY HOMES, INC.",,Trailer,UNITED STATES (USA)
4S9331,22190,PIONEER TRUCKWELD INC,,Trailer,
4S9333,1638,"SHILOH CUSTOM KARTS, LLC",,Motorcycle,UNITED STATES (USA)
4S9336,13400,"SUSSEX WELDING,LLC",,Trailer,UNITED STATES (USA)
4S9337,1662,"SUMMIT INDUSTRIAL CONTRACTORS, LLC",,Trailer,UNITED STATES (USA)
4S9338,7523,"SPECIALIZED TRUCK EQUIPMENT, LLC",,Trailer,UNITED STATES (USA)
4S9339,25269,SPIRIT OF AMERICA CORPORATION,,Trailer,
4S9341,6570,SHETRON CUSTOM TRAILERS,,Trailer,UNITED STATES (USA)
4S9342,7359,"STURDY BUILT SERVICES, LLC",,Trailer,UNITED STATES (USA)
4S9345,14936,SATELLITE INDUSTRIES,,Trailer,UNITED STATES (USA)
4S9348,6585,SPECIALIZED HAULING CONCEPTS LLC,,Trailer,UNITED STATES (USA)
4S9352,6588,"SILVER RANCH INDUSTRIES, LLC",,Trailer,UNITED STATES (USA)
4S9353,7491,STUNTERX STUNTSHOP,,Motorcycle,UNITED STATES (USA)
4S9354,7634,SIDESHOW'S CYCLES,,Motorcycle,UNITED STATES (USA)
4S9360,13804,SWM ENTERPRISES LLC,,Trailer,UNITED STATES (USA)
4S9361,7817,SLNYC,,Motorcycle,UNITED STATES (USA)
4S9364,6950,SOUTHERN DIMENSIONS GROUP INC.,,Trailer,UNITED STATES (USA)
4S9366,15922,SELECT TRAILERS LLC DBA CONTAINGO,,Trailer,UNITED STATES (USA)
4S9367,19263,SUMMIT SALES &  EQUIPMENT,,Trailer,UNITED STATES (USA)
4S9370,7161,SANKEPALLY MOTOR COMPANY LLC,,Motorcycle,UNITED STATES (USA)
4S9371,20311,"SOLARIS OILFIELD SITE SERVICES OPERATING,LLC",,Trailer,UNITED STATES (USA)
4S9373,7315,STAR FABRICATION LLC,,Trailer,UNITED STATES (USA)
4S9377,13891,STAG TRAILERS MFG LLC.,,Trailer,UNITED STATES (USA)
4S9379,13612,"SOUTHERN OHIO CHASSIS, LLC",,Trailer,UNITED STATES (USA)
4S9390,13588,"SANBORN BUILDING & DESIGN, INC.",,Trailer,UNITED STATES (USA)
4S9393,13652,SANCHEZ BROTHERS ENTERPRISES INC.,,Trailer,UNITED STATES (USA)
4S9394,13996,THE TORCH CHARIOT LLC,,Trailer,UNITED STATES (USA)
4S9395,13608,SCOTT'S WELDING & FABRICATION,,Trailer,UNITED STATES (USA)
4S9397,13914,SPARTAN TRAILER MFG. INC.,,Trailer,UNITED STATES (USA)
4S9400,11349,SUMMIT TRUCK BODIES,,Trailer,UNITED STATES (USA)
4S9403,15064,STRONG BUILT TRAILERS LLC,,Trailer,UNITED STATES (USA)
4S9405,14664,SPECIALTY PERFORMANCE,,Trailer,UNITED STATES (USA)
4S9407,22568,SUPERCAR SYSTEM,,Passenger Car,
4S9409,15095,"FRANK K ELLINGTON, DBA SUNDROP SOLAR TRAILERS",,Trailer,UNITED STATES (USA)
4S9410,18829,"SHORELINE FUEL PRODUCTS, LLC",,Trailer,UNITED STATES (USA)
4S9411,15013,"SOUTH CENTRAL INDUSTRIAL, LLC.",,Trailer,UNITED STATES (USA)
4S9415,16026,SIRCHIE AQUISITION COMPANY,,Trailer,UNITED STATES (USA)
4S9417,15141,SRC MONTEZUMA LLC,,Low Speed Vehicle (LSV),UNITED STATES (USA)
4S9419,4368,"THE SHYFT GROUP, INC.",,Truck,UNITED STATES (USA)
4S9420,15584,SNIDERBUILT TRAILERS,,Trailer,UNITED STATES (USA)
4S9422,15672,SCOTTIES METAL SHOP,,Trailer,UNITED STATES (USA)
4S9425,15696,HOBO ADVENTURE TRAILERS LLC,,Trailer,UNITED STATES (USA)
4S9426,17288,SOUTHEASTERN SEATING INCOPORATED,,Trailer,UNITED STATES (USA)
4S9428,16221,"SOUTHWEST GEORGIA WHOLESALE BUILDERS SUPPLY, INC.",,Trailer,UNITED STATES (USA)
4S9430,15912,SUPERIOR TRAILER MANUFACTURING LLC,,Trailer,UNITED STATES (USA)
4S9432,15892,SBI MFG,,Trailer,UNITED STATES (USA)
4S9434,15898,SOUTHWEST SIGNS LLC,,Trailer,UNITED STATES (USA)
4S9435,15976,SUPERIOR INDUSTRIES,,Off-Road Vehicle,UNITED STATES (USA)
4S9436,16515,SATURN MACHINE & WELDING CO. INC.,,Trailer,UNITED STATES (USA)
4S9437,19540,"SUNDANCE CUSTOM GOLF CARTS, INC.",,Low Speed Vehicle (LSV),UNITED STATES (USA)
4S9438,16029,"SNODGRESS EQUIPMENT, INC.",,Trailer,UNITED STATES (USA)
4S9440,16158,"SUPERIOR HANDLING EQUIPMENT, LLC",,Trailer,UNITED STATES (USA)
4S9443,16229,CENTEX LEGACY INDUSTRIES,,Trailer,UNITED STATES (USA)
4S9444,16407,"SEEDLING HOMES, LLC.",,Trailer,UNITED STATES (USA)
4S9447,18230,SOUTH COAST MANUFACTURING LLC,,Trailer,UNITED STATES (USA)
4S9449,16512,STANFORD MANUFACTURING CO.,,Passenger Car,UNITED STATES (USA)
4S9450,16465,"SHIFT MOTORSPORTS, LLC",,Low Speed Vehicle (LSV),UNITED STATES (USA)
4S9452,19508,"MIG LLC,",,Trailer,UNITED STATES (USA)
4S9454,16928,SCUDERIA CAMERON GLICKENHAUS LLC,,Passenger Car,UNITED STATES (USA)
4S9459,17147,"SUPERIOR WELDING AND MANUFACTURING, INC.",,Trailer,UNITED STATES (USA)
4S9460,17149,SOUTHWEST WELDING LLC,,Trailer,UNITED STATES (USA)
4S9461,17376,"STRICT DEVELOPMENT, INC.",,Trailer,UNITED STATES (USA)
4S9463,17162,"SHERPA ADVENTURES, LLC",,Trailer,UNITED STATES (USA)
4S9464,17150,SNOWY MOUNTAIN CAMPERS,,Trailer,UNITED STATES (USA)
4S9465,17372,"STORRI, LLC",,Trailer,UNITED STATES (USA)
4S9468,17365,STONE RIVER TRAILER MANUFACTURING,,Trailer,UNITED STATES (USA)
4S9473,17526,SAGE PUMP SERVICES,,Trailer,UNITED STATES (USA)
4S9476,17864,"SPECIALIZED EQUIPMENT COMPANY, LLC.",,Trailer,UNITED STATES (USA)
4S9477,17852,SAFE-T-PULL INCORPORATED,,Trailer,UNITED STATES (USA)
4S9478,17818,"SIMMS BROTHERS MARINE SERVICES, INC",,Trailer,UNITED STATES (USA)
4S9480,17963,SAM'S TRANSPORT COMPANY,,Trailer,UNITED STATES (USA)
4S9483,18145,STELLA SPECIALTY TRAILERS LLC,,Trailer,UNITED STATES (USA)
4S9484,18309,"STEALTHCRAFT BOATS, LLC",,Trailer,UNITED STATES (USA)
4S9489,21438,SUPERFORMANCE LLC,,Passenger Car,UNITED STATES (USA)
4S9491,18642,SILVER SPECIAL TRAILERS LLC,,Trailer,UNITED STATES (USA)
4S9492,18577,SAXON PAINTING  COMPANY LLC DBA SAXON ENTERPRISES,,Trailer,UNITED STATES (USA)
4S9494,18679,SCHROEDER MACHINE SHOP INC,,Trailer,UNITED STATES (USA)
4S9496,18671,SOUTH WALTON CARTS LLC,,Low Speed Vehicle (LSV),UNITED STATES (USA)
4S9502,19136,SAN JOSE CONSERVATION CORPS + CHARTER SCHOOL,,Trailer,UNITED STATES (USA)
4S9503,18818,SPITFIRE VINTAGE CARAVANS LLC,,Trailer,UNITED STATES (USA)
4S9505,18842,SERVICE ONE TRUCK EQUIPMENT,,Trailer,UNITED STATES (USA)
4S9506,18866,SUN DEVIL TRAILER MANUFACTURING LLC,,Trailer,UNITED STATES (USA)
4S9510,18892,SUSITNA TEARDROPS,,Trailer,UNITED STATES (USA)
4S9512,18900,NELSON AND NELSON MANUFACTURING,,Trailer,UNITED STATES (USA)
4S9514,19017,SOWAL BEACH BUGGYS INC.,,Low Speed Vehicle (LSV),UNITED STATES (USA)
4S9515,19801,"SYMMETRY TRAILERS, LLC",,Trailer,UNITED STATES (USA)
4S9518,19128,SCHLOER TRUCKING LLC,,Trailer,UNITED STATES (USA)
4S9519,19559,"SHERPA OUTFITTERS, LLC",,Trailer,UNITED STATES (USA)
4S9520,19307,"SIGNATURE AUTOSPORT, LLC",,Multipurpose Passenger Vehicle (MPV),UNITED STATES (USA)
4S9521,19986,S&S MANUFACTURING,,Trailer,
4S9522,19240,SEED CARGO,,Trailer,UNITED STATES (USA)
4S9524,19318,SMOK'T,,Trailer,UNITED STATES (USA)
4S9525,19319,SHUBERT CUSTOM CYCLES,,Motorcycle,UNITED STATES (USA)
4S9527,19373,STRONGARM TRAILERS AND HITCHES,,Trailer,UNITED STATES (USA)
4S9529,19403,SPINBAR DESIGN LAB,,Trailer,UNITED STATES (USA)
4S9531,19490,SUPERIOR TRAILERS LLC,,Trailer,UNITED STATES (USA)
4S9532,19507,SULFUR CREEK CYCLE LLC,,Motorcycle,UNITED STATES (USA)
4S9533,19527,"STAR LAKE FABRICATION, LLC",,Trailer,UNITED STATES (USA)
4S9534,8141,SPUDNIK EQUIPMENT COMPANY LLC,,Trailer,UNITED STATES (USA)
4S9535,19538,SUNCOAST FABRICATION LLC,,Trailer,UNITED STATES (USA)
4S9537,19603,SPARK CYCLEWORKS LLC,,Motorcycle,UNITED STATES (USA)
4S9540,19348,SIMPLIFIED FABRICATORS INC,,Trailer,UNITED STATES (USA)
4S9542,16928,SCUDERIA CAMERON GLICKENHAUS LLC,,Multipurpose Passenger Vehicle (MPV),UNITED STATES (USA)
4S9543,19802,SAFE ROOM DESIGNS,,Trailer,UNITED STATES (USA)
4S9544,16928,SCUDERIA CAMERON GLICKENHAUS LLC,,Passenger Car,UNITED STATES (USA)
4S9545,19816,STOUT CONVEYORS LLC,,Trailer,UNITED STATES (USA)
4S9546,19837,SQUARE GROUPER MANUFACTURING,,Motorcycle,UNITED STATES (USA)
4S9547,19837,SQUARE GROUPER MANUFACTURING,,Low Speed Vehicle (LSV),UNITED STATES (USA)
4S9548,19854,SMOKY MOUNTAIN JET BOAT BUILDING LLC,,Trailer,UNITED STATES (USA)
4S9549,19865,SASSTASS AND THE POUR HORSE MOBILE BAR CO LLC,,Trailer,UNITED STATES (USA)
4S9550,20158,STAMPEDE OUTDOORS,,Trailer,UNITED STATES (USA)
4S9551,20258,SOUTH RIVER CARGO LLC,,Trailer,UNITED STATES (USA)
4S9552,19925,SQU SERVICES,,Trailer,UNITED STATES (USA)
4S9553,19916,SUNSET MANUFACTURING CO OF SAINT JOSEPH,,Low Speed Vehicle (LSV),UNITED STATES (USA)
